Region,Market,Year ending December 2018,Year-ending-December-2019,2019 change,Year-ending-December-2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change
Adelaide,International,406,437,8%,96,-78%,"8,033","9,258",15%,"2,372",-74%,970,"1,057",9%,241,-77%
Adelaide,Domestic overnight,"2,862",3485,22%,1653,-53%,"9,661","10,803",12%,"6,331",-41%,"2,307","2,811",22%,"1,287",-54%
Adelaide,Domestic day,"4,808",5784,20%,5407,-7%,-,-,-100%,-,-100%,656,647,-1%,543,-16%
Adelaide,Total,"8,076",9706,20%,7156,-26%,"17,694","20,061",13%,"8,703",-57%,"3,934","4,515",15%,"2,071",-54%
Adelaide Hills,International,12,11,-1%,NP,NP,165,143,-13%,NP,NP,5,11,117%,NP,NP
Adelaide Hills,Domestic overnight,160,214,34%,124,-42%,527,461,-13%,335,-27%,70,87,25%,42,-52%
Adelaide Hills,Domestic day,"1,033",1664,61%,1125,-32%,-,-,-100%,-,-100%,82,108,32%,79,-27%
Adelaide Hills,Total,"1,204",1890,57%,1253,-34%,691,604,-13%,409,-32%,157,207,31%,130,-37%
Alice Springs,International,113,98,-13%,17,-83%,617,550,-11%,119,-78%,66,65,-1%,10,-84%
Alice Springs,Domestic overnight,284,343,21%,129,-63%,"1,146","1,257",10%,595,-53%,218,349,60%,151,-57%
Alice Springs,Domestic day,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP
Alice Springs,Total,433,528,22%,204,-61%,"1,763","1,807",3%,714,-61%,290,433,50%,173,-60%
Australia's Coral Coast,International,87,112,29%,24,-79%,"1,096","1,011",-8%,232,-77%,93,135,46%,26,-81%
Australia's Coral Coast,Domestic overnight,929,1035,11%,1054,2%,"4,311","4,659",8%,"5,067",9%,577,669,16%,702,5%
Australia's Coral Coast,Domestic day,"1,348",1456,8%,794,-46%,-,-,-100%,-,-100%,141,132,-6%,108,-18%
Australia's Coral Coast,Total,"2,363",2603,10%,1872,-28%,"5,407","5,671",5%,"5,299",-7%,811,936,16%,836,-11%
Australia's Golden Outback,International,60,68,13%,15,-78%,608,856,41%,188,-78%,34,44,27%,7,-85%
Australia's Golden Outback,Domestic overnight,"1,021",1461,43%,1085,-26%,"3,934","7,505",91%,"4,949",-34%,498,849,71%,637,-25%
Australia's Golden Outback,Domestic day,837,1113,33%,876,-21%,-,-,-100%,-,-100%,114,120,5%,88,-27%
Australia's Golden Outback,Total,"1,918",2642,38%,1975,-25%,"4,542","8,361",84%,"5,137",-39%,647,"1,013",57%,731,-28%
Australia's North West,International,63,63,1%,8,-88%,"1,458","1,727",19%,240,-86%,93,89,-4%,10,-89%
Australia's North West,Domestic overnight,"1,130",1535,36%,1181,-23%,"9,030","11,614",29%,"9,806",-16%,"1,024","1,396",36%,"1,042",-25%
Australia's North West,Domestic day,502,662,32%,NP,NP,-,-,-100%,NP,NP,134,122,-9%,NP,NP
Australia's North West,Total,"1,696",2261,33%,1469,-35%,"10,487","13,341",27%,"10,046",-25%,"1,251","1,608",29%,"1,107",-31%
Australia's South West,International,195,193,-1%,47,-76%,"1,879","2,088",11%,606,-71%,154,156,1%,32,-80%
Australia's South West,Domestic overnight,"2,828",3076,9%,2739,-11%,"9,108","9,815",8%,"9,554",-3%,"1,448","1,643",14%,"1,705",4%
Australia's South West,Domestic day,"3,826",4282,12%,3121,-27%,-,-,-100%,-,-100%,473,587,24%,427,-27%
Australia's South West,Total,"6,849",7552,10%,5907,-22%,"10,987","11,903",8%,"10,160",-15%,"2,074","2,386",15%,"2,164",-9%
Ballarat,International,23,29,28%,NP,NP,250,529,111%,NP,NP,24,32,32%,NP,NP
Ballarat,Domestic overnight,749,992,32%,433,-56%,"1,459","2,048",40%,"1,232",-40%,230,308,34%,128,-58%
Ballarat,Domestic day,"2,090",2342,12%,1163,-50%,-,-,-100%,-,-100%,198,273,38%,197,-28%
Ballarat,Total,"2,862",3362,18%,1601,-52%,"1,709","2,576",51%,"1,306",-49%,451,613,36%,328,-47%
Barkly,International,13,12,-7%,NP,NP,85,37,-56%,NP,NP,3,2,-39%,NP,NP
Barkly,Domestic overnight,127,99,-22%,NP,NP,288,268,-7%,NP,NP,79,95,21%,NP,NP
Barkly,Domestic day,NP,-,NP,NP,NP,NP,-,NP,NP,NP,NP,-,NP,NP,NP
Barkly,Total,151,112,-26%,NP,NP,372,305,-18%,NP,NP,82,97,18%,NP,NP
Barossa,International,15,14,-11%,NP,NP,80,107,34%,NP,NP,7,10,38%,NP,NP
Barossa,Domestic overnight,227,304,34%,193,-36%,558,682,22%,477,-30%,150,135,-10%,98,-28%
Barossa,Domestic day,819,980,20%,755,-23%,-,-,-100%,-,-100%,82,80,-3%,83,4%
