Region,Financial year,Gross value added ($M),Employed persons ('000),Gross value added share,Employed persons share
 Adelaide ,2019-20,1863.00,22.1,2.40%,3.50%
 Adelaide ,2018-19,2158.00,22.7,2.80%,3.60%
 Adelaide ,2017-18,2037.00,22.4,2.80%,3.60%
 Adelaide Hills ,2019-20,66.00,1.4,2.70%,5.80%
 Adelaide Hills ,2018-19,69.00,1.3,2.90%,5.40%
 Adelaide Hills ,2017-18,66.00,1.3,2.80%,5.40%
 Alice Springs ,2019-20,119.00,1.2,7.90%,7.80%
 Alice Springs ,2018-19,159.00,1.4,9.10%,9.10%
 Alice Springs ,2017-18,169.00,1.5,8.70%,9.50%
 Australia's Coral Coast ,2019-20,362.00,4.9,5.50%,14.40%
 Australia's Coral Coast ,2018-19,393.00,4.8,6.60%,14.00%
 Australia's Coral Coast ,2017-18,374.00,4.8,6.90%,14.30%
 Australia's Golden Outback ,2019-20,262.00,4.7,1.00%,7.90%
 Australia's Golden Outback ,2018-19,252.00,4.1,1.10%,6.80%
 Australia's Golden Outback ,2017-18,198.00,3.4,1.00%,5.80%
 Australia's North West ,2019-20,570.00,7,0.90%,7.90%
 Australia's North West ,2018-19,570.00,6,1.10%,6.80%
 Australia's North West ,2017-18,468.00,5.2,1.10%,6.00%
 Australia's South West ,2019-20,788.00,12.3,4.80%,11.20%
 Australia's South West ,2018-19,918.00,13.2,6.00%,12.00%
 Australia's South West ,2017-18,737.00,11.2,5.20%,10.30%
 Ballarat ,2019-20,161.00,3.1,2.50%,5.00%
 Ballarat ,2018-19,218.00,3.7,3.50%,6.00%
 Ballarat ,2017-18,193.00,3.4,3.30%,5.70%
 Barkly ,2019-20,18.00,0.1,6.20%,5.70%
 Barkly ,2018-19,28.00,0.2,8.10%,8.20%
 Barkly ,2017-18,29.00,0.2,7.70%,8.10%
 Barossa ,2019-20,54.00,0.8,2.60%,4.60%
 Barossa ,2018-19,63.00,0.9,3.00%,4.70%
 Barossa ,2017-18,56.00,0.8,2.80%,4.40%
 Bendigo Loddon ,2019-20,203.00,4.2,2.50%,5.60%
 Bendigo Loddon ,2018-19,265.00,4.7,3.40%,6.30%
 Bendigo Loddon ,2017-18,228.00,4.3,3.10%,5.90%
 Blue Mountains ,2019-20,215.00,3.3,5.60%,9.60%
 Blue Mountains ,2018-19,287.00,3.9,7.40%,11.30%
 Blue Mountains ,2017-18,283.00,3.9,7.60%,11.50%
 Brisbane ,2019-20,3946.00,43.5,2.20%,3.30%
 Brisbane ,2018-19,4662.00,45.1,2.60%,3.50%
 Brisbane ,2017-18,4436.00,44.2,2.60%,3.50%
 Bundaberg ,2019-20,159.00,2.6,3.60%,5.80%
 Bundaberg ,2018-19,185.00,2.6,4.00%,5.90%
 Bundaberg ,2017-18,179.00,2.6,3.90%,6.00%
 Canberra ,2019-20,847.00,9.2,2.20%,3.90%
 Canberra ,2018-19,1160.00,10.9,3.10%,4.80%
 Canberra ,2017-18,1234.00,11.6,3.40%,5.10%
 Capital Country ,2019-20,259.00,4.1,3.30%,5.70%
 Capital Country ,2018-19,321.00,4.6,4.10%,6.40%
 Capital Country ,2017-18,311.00,4.5,4.00%,6.40%
 Capricorn ,2019-20,240.00,3.9,1.80%,5.10%
 Capricorn ,2018-19,308.00,4.3,2.10%,5.70%
 Capricorn ,2017-18,299.00,4.3,2.20%,5.70%
 Central Coast ,2019-20,397.00,6.5,2.90%,5.00%
 Central Coast ,2018-19,476.00,7.1,3.50%,5.40%
 Central Coast ,2017-18,440.00,6.6,3.40%,5.20%
 Central Highlands ,2019-20,50.00,1.5,4.20%,12.30%
 Central Highlands ,2018-19,53.00,1.5,4.60%,12.10%
 Central Highlands ,2017-18,51.00,1.5,4.60%,12.40%
 Central Murray ,2019-20,153.00,4.1,4.90%,12.40%
 Central Murray ,2018-19,171.00,3.9,5.60%,11.90%
 Central Murray ,2017-18,169.00,4.3,5.90%,13.50%
 Central NSW ,2019-20,443.00,8,2.90%,6.20%
 Central NSW ,2018-19,561.00,9.2,3.60%,7.10%
 Central NSW ,2017-18,536.00,8.7,3.50%,6.90%
 Clare Valley ,2019-20,32.00,0.6,4.10%,9.20%
 Clare Valley ,2018-19,27.00,0.5,3.60%,7.20%
 Clare Valley ,2017-18,28.00,0.5,4.00%,7.80%
 Darwin ,2019-20,375.00,3.3,2.70%,3.70%
 Darwin ,2018-19,502.00,3.8,3.40%,4.30%
 Darwin ,2017-18,508.00,4,3.20%,4.20%
 Destination Perth ,2019-20,2992.00,36.8,1.50%,3.50%
 Destination Perth ,2018-19,3444.00,38.4,1.90%,3.70%
 Destination Perth ,2017-18,3102.00,36.2,1.90%,3.50%
