Source: Tourism Research Australia,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Regions by quarter,,,,,
Region,Year,March quarter expenditure ($M),June quarter expenditure ($M),September quarter expenditure ($M),December quarter expenditure ($M)
Adelaide,Year ending December 2019,1242,926,1067,1286
Adelaide,Year ending December 2020,1132,176,270,498
Adelaide,% change,-0.08856682769726243,-0.8099352051835853,-0.7469540768509841,-0.6127527216174183
Adelaide Hills,Year ending December 2019,49,58,41,59
Adelaide Hills,Year ending December 2020,57,NP,30,34
Adelaide Hills,% change,0.16326530612244894,NP,-0.2682926829268293,-0.423728813559322
Alice Springs,Year ending December 2019,65,135,155,74
Alice Springs,Year ending December 2020,57,NP,NP,NP
Alice Springs,% change,-0.12307692307692308,NP,NP,NP
Australia's Coral Coast,Year ending December 2019,194,217,333,185
Australia's Coral Coast,Year ending December 2020,166,78,371,219
Australia's Coral Coast,% change,-0.14432989690721654,-0.6405529953917051,0.1141141141141142,0.18378378378378368
Australia's Golden Outback,Year ending December 2019,220,271,217,314
Australia's Golden Outback,Year ending December 2020,170,182,169,205
Australia's Golden Outback,% change,-0.2272727272727273,-0.3284132841328413,-0.2211981566820277,-0.3471337579617835
Australia's North West,Year ending December 2019,320,375,573,338
Australia's North West,Year ending December 2020,292,178,382,261
Australia's North West,% change,-0.08750000000000002,-0.5253333333333333,-0.33333333333333337,-0.22781065088757402
Australia's South West,Year ending December 2019,733,582,505,567
Australia's South West,Year ending December 2020,637,248,584,693
Australia's South West,% change,-0.13096862210095495,-0.5738831615120275,0.15643564356435635,0.22222222222222232
Ballarat,Year ending December 2019,169,170,148,124
Ballarat,Year ending December 2020,110,62,NP,121
Ballarat,% change,-0.34911242603550297,-0.6352941176470588,NP,-0.024193548387096753
Barkly,Year ending December 2019,NP,NP,33,NP
Barkly,Year ending December 2020,NP,NP,NP,NP
Barkly,% change,NP,NP,NP,NP
Barossa,Year ending December 2019,57,69,44,58
Barossa,Year ending December 2020,46,NP,65,62
Barossa,% change,-0.19298245614035092,NP,0.4772727272727273,0.06896551724137923
Bendigo Loddon,Year ending December 2019,181,199,147,233
Bendigo Loddon,Year ending December 2020,181,50,33,117
Bendigo Loddon,% change,0,-0.7487437185929648,-0.7755102040816326,-0.49785407725321884
Blue Mountains,Year ending December 2019,160,249,213,174
Blue Mountains,Year ending December 2020,160,56,170,149
Blue Mountains,% change,0,-0.7751004016064257,-0.2018779342723005,-0.14367816091954022
Brisbane,Year ending December 2019,2653,2151,2689,2900
Brisbane,Year ending December 2020,2153,411,918,1493
Brisbane,% change,-0.18846588767433092,-0.8089260808926081,-0.6586091483822982,-0.4851724137931035
Bundaberg,Year ending December 2019,127,107,138,137
Bundaberg,Year ending December 2020,147,39,99,84
Bundaberg,% change,0.15748031496062986,-0.6355140186915889,-0.28260869565217395,-0.3868613138686131
Canberra,Year ending December 2019,612,767,797,652
Canberra,Year ending December 2020,529,115,233,407
