parishname,countyname,lganame,regionname,CDI,postcode,Date
HEATHCOTE,CUMBERLAND,WOLLONGONG,SOUTH EAST,1,2173,30/9/17
HEATHCOTE,CUMBERLAND,WOLLONGONG,SOUTH EAST,1,2233,30/9/17
HEATHCOTE,CUMBERLAND,WOLLONGONG,SOUTH EAST,1,2234,30/9/17
WOONONA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2500,30/9/17
KEMBLA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2500,30/9/17
CORDEAUX,CAMDEN,WOLLONGONG,SOUTH EAST,1,2500,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2500,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2502,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2505,30/9/17
KEMBLA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2506,30/9/17
CALDERWOOD,CAMDEN,WOLLONGONG,SOUTH EAST,1,2506,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2506,30/9/17
SOUTHEND,CUMBERLAND,WOLLONGONG,SOUTH EAST,1,2508,30/9/17
HEATHCOTE,CUMBERLAND,WOLLONGONG,SOUTH EAST,1,2508,30/9/17
WOONONA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2515,30/9/17
SOUTHEND,CUMBERLAND,WOLLONGONG,SOUTH EAST,1,2515,30/9/17
WOONONA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2516,30/9/17
SOUTHEND,CUMBERLAND,WOLLONGONG,SOUTH EAST,1,2516,30/9/17
WOONONA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2517,30/9/17
WOONONA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2518,30/9/17
WOONONA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2519,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2519,30/9/17
WOONONA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2522,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2522,30/9/17
KEMBLA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2525,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2525,30/9/17
KEMBLA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2526,30/9/17
CALDERWOOD,CAMDEN,WOLLONGONG,SOUTH EAST,1,2526,30/9/17
WONGAWILLI,CAMDEN,WOLLONGONG,SOUTH EAST,1,2526,30/9/17
CORDEAUX,CAMDEN,WOLLONGONG,SOUTH EAST,1,2526,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2526,30/9/17
CALDERWOOD,CAMDEN,WOLLONGONG,SOUTH EAST,1,2527,30/9/17
WALLAYA,CAMDEN,KIAMA,SOUTH EAST,1,2527,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2527,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2528,30/9/17
KIAMA,CAMDEN,KIAMA,SOUTH EAST,1,2529,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2529,30/9/17
KEMBLA,CAMDEN,WOLLONGONG,SOUTH EAST,1,2530,30/9/17
CALDERWOOD,CAMDEN,WOLLONGONG,SOUTH EAST,1,2530,30/9/17
WONGAWILLI,CAMDEN,WOLLONGONG,SOUTH EAST,1,2530,30/9/17
WOLLONGONG,CAMDEN,WOLLONGONG,SOUTH EAST,1,2530,30/9/17
KIAMA,CAMDEN,KIAMA,SOUTH EAST,1,2533,30/9/17
BROUGHTON,CAMDEN,KIAMA,SOUTH EAST,1,2533,30/9/17
WALLAYA,CAMDEN,KIAMA,SOUTH EAST,1,2533,30/9/17
KIAMA,CAMDEN,KIAMA,SOUTH EAST,1,2534,30/9/17
COOLANGATTA,CAMDEN,SHOALHAVEN,SOUTH EAST,1,2534,30/9/17
BROUGHTON,CAMDEN,KIAMA,SOUTH EAST,1,2534,30/9/17
WALLAYA,CAMDEN,KIAMA,SOUTH EAST,1,2534,30/9/17
KIAMA,CAMDEN,KIAMA,SOUTH EAST,1,2535,30/9/17
COOLANGATTA,CAMDEN,SHOALHAVEN,SOUTH EAST,1,2535,30/9/17
BROUGHTON,CAMDEN,KIAMA,SOUTH EAST,1,2535,30/9/17
